0	0	0
0	1	10
0	2	20
0	3	30
0	4	40
0	5	50
0	6	60
0	7	70
0	8	80
0	9	90
0	10	100
0	11	110
0	12	120
0	13	130
0	14	140
0	15	150
0	16	140
0	17	130
0	18	120
0	19	110
0	20	100
0	21	90
0	22	80
0	23	70
0	24	60
0	25	50
0	26	40
0	27	30
0	28	20
0	29	10
1	0	10
1	1	0
1	2	10
1	3	20
1	4	30
1	5	40
1	6	50
1	7	60
1	8	70
1	9	80
1	10	90
1	11	100
1	12	110
1	13	120
1	14	130
1	15	140
1	16	150
1	17	140
1	18	130
1	19	120
1	20	110
1	21	100
1	22	90
1	23	80
1	24	70
1	25	60
1	26	50
1	27	40
1	28	30
1	29	20
2	0	20
2	1	10
2	2	0
2	3	10
2	4	20
2	5	30
2	6	40
2	7	50
2	8	60
2	9	70
2	10	80
2	11	90
2	12	100
2	13	110
2	14	120
2	15	130
2	16	140
2	17	150
2	18	140
2	19	130
2	20	120
2	21	110
2	22	100
2	23	90
2	24	80
2	25	70
2	26	60
2	27	50
2	28	40
2	29	30
3	0	30
3	1	20
3	2	10
3	3	0
3	4	10
3	5	20
3	6	30
3	7	40
3	8	50
3	9	60
3	10	70
3	11	80
3	12	90
3	13	100
3	14	110
3	15	120
3	16	130
3	17	140
3	18	150
3	19	140
3	20	130
3	21	120
3	22	110
3	23	100
3	24	90
3	25	80
3	26	70
3	27	60
3	28	50
3	29	40
4	0	40
4	1	30
4	2	20
4	3	10
4	4	0
4	5	10
4	6	20
4	7	30
4	8	40
4	9	50
4	10	60
4	11	70
4	12	80
4	13	90
4	14	100
4	15	110
4	16	120
4	17	130
4	18	140
4	19	150
4	20	140
4	21	130
4	22	120
4	23	110
4	24	100
4	25	90
4	26	80
4	27	70
4	28	60
4	29	50
5	0	50
5	1	40
5	2	30
5	3	20
5	4	10
5	5	0
5	6	10
5	7	20
5	8	30
5	9	40
5	10	50
5	11	60
5	12	70
5	13	80
5	14	90
5	15	100
5	16	110
5	17	120
5	18	130
5	19	140
5	20	150
5	21	140
5	22	130
5	23	120
5	24	110
5	25	100
5	26	90
5	27	80
5	28	70
5	29	60
6	0	60
6	1	50
6	2	40
6	3	30
6	4	20
6	5	10
6	6	0
6	7	10
6	8	20
6	9	30
6	10	40
6	11	50
6	12	60
6	13	70
6	14	80
6	15	90
6	16	100
6	17	110
6	18	120
6	19	130
6	20	140
6	21	150
6	22	140
6	23	130
6	24	120
6	25	110
6	26	100
6	27	90
6	28	80
6	29	70
7	0	70
7	1	60
7	2	50
7	3	40
7	4	30
7	5	20
7	6	10
7	7	0
7	8	10
7	9	20
7	10	30
7	11	40
7	12	50
