0	0	0
0	1	10
0	2	20
0	3	30
0	4	40
0	5	50
0	6	60
0	7	70
0	8	80
0	9	90
0	10	100
0	11	110
0	12	120
0	13	130
0	14	140
0	15	150
0	16	160
0	17	170
0	18	180
0	19	190
0	20	200
0	21	190
0	22	180
0	23	170
0	24	160
0	25	150
0	26	140
0	27	130
0	28	120
0	29	110
0	30	100
0	31	90
0	32	80
0	33	70
0	34	60
0	35	50
0	36	40
0	37	30
0	38	20
0	39	10
1	0	10
1	1	0
1	2	10
1	3	20
1	4	30
1	5	40
1	6	50
1	7	60
1	8	70
1	9	80
1	10	90
1	11	100
1	12	110
1	13	120
1	14	130
1	15	140
1	16	150
1	17	160
1	18	170
1	19	180
1	20	190
1	21	200
1	22	190
1	23	180
1	24	170
1	25	160
1	26	150
1	27	140
1	28	130
1	29	120
1	30	110
1	31	100
1	32	90
1	33	80
1	34	70
1	35	60
1	36	50
1	37	40
1	38	30
1	39	20
2	0	20
2	1	10
2	2	0
2	3	10
2	4	20
2	5	30
2	6	40
2	7	50
2	8	60
2	9	70
2	10	80
2	11	90
2	12	100
2	13	110
2	14	120
2	15	130
2	16	140
2	17	150
2	18	160
2	19	170
2	20	180
2	21	190
2	22	200
2	23	190
2	24	180
2	25	170
2	26	160
2	27	150
2	28	140
2	29	130
2	30	120
2	31	110
2	32	100
2	33	90
2	34	80
2	35	70
2	36	60
2	37	50
2	38	40
2	39	30
3	0	30
3	1	20
3	2	10
3	3	0
3	4	10
3	5	20
3	6	30
3	7	40
3	8	50
3	9	60
3	10	70
3	11	80
3	12	90
3	13	100
3	14	110
3	15	120
3	16	130
3	17	140
3	18	150
3	19	160
3	20	170
3	21	180
3	22	190
3	23	200
3	24	190
3	25	180
3	26	170
3	27	160
3	28	150
3	29	140
3	30	130
3	31	120
3	32	110
3	33	100
3	34	90
3	35	80
3	36	70
3	37	60
3	38	50
3	39	40
4	0	40
4	1	30
4	2	20
4	3	10
4	4	0
4	5	10
4	6	20
4	7	30
4	8	40
4	9	50
4	10	60
4	11	70
4	12	80
4	13	90
4	14	100
4	15	110
4	16	120
4	17	130
4	18	140
4	19	150
4	20	160
4	21	170
4	22	180
4	23	190
4	24	200
4	25	190
4	26	180
4	27	170
4	28	160
4	29	150
4	30	140
4	31	130
4	32	120
4	33	110
4	34	100
4	35	90
4	36	80
4	37	70
4	38	60
4	39	50
5	0	50
5	1	40
5	2	30
5	3	20
5	4	10
5	5	0
5	6	10
5	7	20
5	8	30
5	9	40
5	10	50
5	11	60
5	12	70
5	13	80
5	14	90
5	15	100
5	16	110
5	17	120
5	18	130
5	19	140
5	20	150
5	21	160
5	22	170
